iter	Passed	Remaining
881	1132	151
882	1133	150
883	1134	148
884	1135	147
885	1136	146
886	1137	144
887	1138	143
888	1139	142
889	1140	140
890	1140	139
891	1141	138
892	1142	136
893	1143	135
894	1144	134
895	1145	132
896	1145	131
897	1146	130
898	1147	128
899	1148	127
900	1149	126
901	1149	124
902	1150	123
903	1151	122
904	1152	121
905	1153	119
906	1154	118
907	1155	117
908	1156	115
909	1157	114
910	1158	113
911	1158	111
912	1159	110
913	1160	109
914	1161	107
915	1162	106
916	1163	105
917	1163	103
918	1164	102
919	1165	101
920	1166	100
921	1167	98
922	1168	97
923	1170	96
924	1171	94
925	1171	93
926	1172	92
927	1173	91
928	1174	89
929	1175	88
930	1176	87
931	1176	85
932	1177	84
933	1178	83
934	1179	81
935	1180	80
936	1181	79
937	1182	78
938	1183	76
939	1184	75
940	1185	74
941	1186	73
942	1187	71
943	1187	70
944	1188	69
945	1189	67
946	1190	66
947	1191	65
948	1192	64
949	1193	62
950	1193	61
951	1194	60
952	1195	58
953	1198	57
954	1199	56
955	1200	55
956	1201	53
957	1202	52
958	1203	51
959	1204	50
960	1205	48
961	1206	47
962	1207	46
963	1207	45
964	1208	43
965	1209	42
966	1211	41
967	1212	40
968	1213	38
969	1214	37
970	1215	36
971	1216	35
972	1217	33
973	1218	32
974	1219	31
975	1220	30
976	1220	28
977	1221	27
978	1222	26
979	1223	24
980	1224	23
981	1226	22
982	1227	21
983	1228	19
984	1229	18
985	1230	17
986	1231	16
987	1232	14
988	1233	13
989	1233	12
990	1234	11
991	1235	9
992	1236	8
993	1238	7
994	1239	6
995	1240	4
996	1241	3
997	1242	2
998	1243	1
999	1244	0
